sha256,representative_path,active_script_group,active_closure_group,active_copy_count,all_copy_count,disposition,candidate_ids,basis,measurement_method,authority,source_metadata_role,static_flags,review_depth
06853e5283530904025f0b7378be746b170f76712f42ceb1a89d4cbddc439c9c,.template-source/cli-core/io.mjs,False,True,3,3,candidate-caller,P08,已核对逐级safe/lstat与文件digest；按bundle/init实际调用次数测量,只读源码抽样核对；隔离真实输入计时；若关联候选则采用其验证设计,unknown-unless-candidate-explicitly-establishes-source,library,"{""process_spawn"": false, ""tree_io"": true, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
082a32678aa00cd9d2ebb4573874a6362ebbb961ff0b0b5f89fbeae3b1ad7ad0,submodules/yss-harness-design-agent/scripts/verify-lifecycle-transition-scenarios,True,False,2,2,fixture-test-only,,断言/回归入口；是否启动真实环境需沿callee区分,隔离执行对应测试，区分mock/真实构建/外部资源,unknown-unless-candidate-explicitly-establishes-source,cli,"{""process_spawn"": false, ""tree_io"": false, ""network"": true, ""mutation"": false, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
0968a1c5daafdf1ba628c97eff5134b03054aab79e6c2a6fcb5a6f8f9eec445e,submodules/yss-harness-design-agent/scripts/lib/skill-governance.mjs,True,False,2,2,static-no-confirmed-hotspot,,词法/路径分类，未证明性能正常,按真实调用频率与输入规模采样；有证据再扩大分析,unknown-unless-candidate-explicitly-establishes-source,library,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
09c2b420c944baf62c3410188abe24c3d50de07519ffc639aefcf35ec307889a,submodules/yss-harness-design-agent/.template-source/tooling/node/scripts/design-md.mjs,True,False,1,1,static-no-confirmed-hotspot,,词法/路径分类，未证明性能正常,按真实调用频率与输入规模采样；有证据再扩大分析,unknown-unless-candidate-explicitly-establishes-source,cli,"{""process_spawn"": true, ""tree_io"": false, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
0a44376667661e8ed4b3f72594aad3f81e6e7199780f9fedfe6371339de35b9c,submodules/yss-harness-dev-agent/scripts/node-verify-lifecycle-registry.mjs,True,False,3,4,candidate-caller,P01,命中候选函数/调用链；可能含字符串/注释，非独立瓶颈证明,沿实际调用链归因，见候选设计；不要据regex删除检查,unknown-unless-candidate-explicitly-establishes-source,cli,"{""process_spawn"": true, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
0ad0fc8f60d4e9ab32b0a972f0ba5a61a4d10c61d4673dd838dbd70909649a6a,.agents/skills/yss-prototype-stage/scripts/prototype-contract.mjs,True,False,2,8,static-no-confirmed-hotspot,,词法/路径分类，未证明性能正常,按真实调用频率与输入规模采样；有证据再扩大分析,unknown-unless-candidate-explicitly-establishes-source,cli,"{""process_spawn"": false, ""tree_io"": true, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
0ad17cbfa50ffa3d0348303d4e9d8c3533df72b406fe905506839aaa10d0529b,scripts/lib/strategic-handoff.mjs,True,False,7,7,candidate,P09,直接引用源码已人工核对,见关联候选验证设计,unknown-unless-candidate-explicitly-establishes-source,library,"{""process_spawn"": false, ""tree_io"": true, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
0ad48f3878ca5fb84a43cfd9bf4ba690c507179d0b73fc7521257563e9fbc87b,submodules/yss-harness-design-agent/scripts/verify-instance-distribution-scenarios,True,False,2,2,fixture-test-only,,断言/回归入口；是否启动真实环境需沿callee区分,隔离执行对应测试，区分mock/真实构建/外部资源,unknown-unless-candidate-explicitly-establishes-source,cli,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
0b50a8c115b6805e6a0252bb94f997f8c8a0c6ce77bd7965fe4a500ae4f41e32,submodules/yss-harness-dev-agent/scripts/verify-instance-distribution,True,False,4,5,wrapper-follow-callee,,短包装/重导出入口；主要成本落在callee,计入口启动开销并追踪实际callee，保留兼容入口,unknown-unless-candidate-explicitly-establishes-source,wrapper,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": false}",manual-candidate-or-automatic-classification-not-function-level-proof
0c8e8ab4c19ddecd36c3b598a20dad50fbcf73ee6cc1318e59a484ff41e65198,scripts/lib/strategic-handoff-design-targets.mjs,True,False,8,8,wrapper-follow-callee,,短包装/重导出入口；主要成本落在callee,计入口启动开销并追踪实际callee，保留兼容入口,unknown-unless-candidate-explicitly-establishes-source,library,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": false}",manual-candidate-or-automatic-classification-not-function-level-proof
0d0459514d5d2981753cf0ecbff45634fb276598c760b77c4982f9fe3fa6e1f1,scripts/verify-strategic-context-import,True,False,8,8,candidate-caller,"P01,P02",命中候选函数/调用链；可能含字符串/注释，非独立瓶颈证明,沿实际调用链归因，见候选设计；不要据regex删除检查,unknown-unless-candidate-explicitly-establishes-source,cli,"{""process_spawn"": true, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
0f376f2f8718952283976b01390c1175e9668f1ab6229bac9c473fd1a8b5714a,scripts/verify-openapi-yaml-first-scenarios,True,False,7,8,fixture-test-only,,断言/回归入口；是否启动真实环境需沿callee区分,隔离执行对应测试，区分mock/真实构建/外部资源,unknown-unless-candidate-explicitly-establishes-source,wrapper,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": false}",manual-candidate-or-automatic-classification-not-function-level-proof
114c6d7b7523bc080b737561db3ca0310e4c3fc579a44695860f6f74d213f8b7,scripts/verify-context-reconciliation,True,False,8,8,candidate,P01,直接引用源码已人工核对,见关联候选验证设计,unknown-unless-candidate-explicitly-establishes-source,cli,"{""process_spawn"": true, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
1164e9dc7790a18beb70c79b17715c0bff0d23c3f434bc154c1b8473cc50852f,scripts/gitworks,True,False,7,8,static-no-confirmed-hotspot,,词法/路径分类，未证明性能正常,按真实调用频率与输入规模采样；有证据再扩大分析,unknown-unless-candidate-explicitly-establishes-source,cli,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
12b6f76a47a32acdc5e1e9cfebf4443cdf6d9f383a833de7c332a026db583d5e,scripts/lib/template-verification.mjs,True,False,8,9,candidate,P03,直接引用源码已人工核对,见关联候选验证设计,unknown-unless-candidate-explicitly-establishes-source,library,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
12deba236d15f43f2a0f516c74b03a3f5f65809b84296e3d6b101f8f1d2dda1d,submodules/yss-harness-design-agent/scripts/node-verify-lifecycle-registry.mjs,True,False,2,2,candidate-caller,P01,命中候选函数/调用链；可能含字符串/注释，非独立瓶颈证明,沿实际调用链归因，见候选设计；不要据regex删除检查,unknown-unless-candidate-explicitly-establishes-source,cli,"{""process_spawn"": true, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
12e8b394eaaa94511fd10439c8a683917cf6027d844a8ecdc2b15a88293a3843,submodules/yss-harness-dev-agent/scripts/verify-subagent-task-package-scenarios,True,False,3,3,fixture-test-only,,断言/回归入口；是否启动真实环境需沿callee区分,隔离执行对应测试，区分mock/真实构建/外部资源,unknown-unless-candidate-explicitly-establishes-source,cli,"{""process_spawn"": true, ""tree_io"": true, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
14df26ccf24942256746d76b5d6c87252af4a781a6d13197ae631b63ecefe277,submodules/yss-harness-frontend-agent/scripts/verify-harness-profile-scenarios,True,False,1,1,fixture-test-only,,断言/回归入口；是否启动真实环境需沿callee区分,隔离执行对应测试，区分mock/真实构建/外部资源,unknown-unless-candidate-explicitly-establishes-source,cli,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
14e9bbb385cef043963131949a0c35210335430905f9d9038ad456053a5f0e08,submodules/yss-harness-dev-agent/scripts/verify-skill-governance,True,False,6,7,wrapper-follow-callee,,短包装/重导出入口；主要成本落在callee,计入口启动开销并追踪实际callee，保留兼容入口,unknown-unless-candidate-explicitly-establishes-source,wrapper,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": false}",manual-candidate-or-automatic-classification-not-function-level-proof
15cb1718e639dd033f51286e060c9de9275e9bb726496c8f713e8169853d95c5,submodules/yss-harness-backend-agent/scripts/lib/visual-baseline-contract.mjs,True,False,1,1,static-no-confirmed-hotspot,,词法/路径分类，未证明性能正常,按真实调用频率与输入规模采样；有证据再扩大分析,unknown-unless-candidate-explicitly-establishes-source,library,"{""process_spawn"": false, ""tree_io"": true, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
161785af32241fc96df051c9be4f2bb9c3b897418d708f4a051b63f1c44952cf,.agents/skills/archify/renderers/shared/geometry.mjs,False,True,6,6,static-no-confirmed-hotspot,,词法/路径分类，未证明性能正常,按真实调用频率与输入规模采样；有证据再扩大分析,unknown-unless-candidate-explicitly-establishes-source,library,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
1732a2f9beddd5d3946abdb91be5a79e622f9fb601aa561867c10b4c8f274e17,submodules/yss-harness-design-agent/scripts/lib/instance-distribution.mjs,True,False,2,2,static-no-confirmed-hotspot,,词法/路径分类，未证明性能正常,按真实调用频率与输入规模采样；有证据再扩大分析,unknown-unless-candidate-explicitly-establishes-source,library,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
17762583db59d22f48e3feb2467643e1e82b3f2741e9b60040b0492806773728,.agents/skills/yss-mvc-scaffold-generator/scripts/lib/storage.mjs,True,False,2,8,static-no-confirmed-hotspot,,词法/路径分类，未证明性能正常,按真实调用频率与输入规模采样；有证据再扩大分析,unknown-unless-candidate-explicitly-establishes-source,library,"{""process_spawn"": false, ""tree_io"": true, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
179efa8a5ec72539e10c6fd902d34f09c9cab3517599e91c69823aa9441ffa9f,submodules/yss-harness-design-agent/scripts/verify-subagent-task-package-scenarios,True,False,2,2,fixture-test-only,,断言/回归入口；是否启动真实环境需沿callee区分,隔离执行对应测试，区分mock/真实构建/外部资源,unknown-unless-candidate-explicitly-establishes-source,cli,"{""process_spawn"": true, ""tree_io"": true, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
17ec4211c3732951f891acd885a88d9f9d7260d123fa3de582a6bb1dd9869d14,scripts/lib/plan-spec-entry.mjs,True,False,4,4,candidate,P01,直接引用源码已人工核对,见关联候选验证设计,unknown-unless-candidate-explicitly-establishes-source,library,"{""process_spawn"": true, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
184a9ff1bd9acb3e74d7f1cbcfa04b1b0d7f43eb09b1dd1b1a64e40b4b9682ed,submodules/yss-harness-frontend-agent/scripts/lib/harness-profile.mjs,True,False,1,1,static-no-confirmed-hotspot,,词法/路径分类，未证明性能正常,按真实调用频率与输入规模采样；有证据再扩大分析,unknown-unless-candidate-explicitly-establishes-source,library,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
18ae07e1cc49b32c71767e241a6e8de4be74ef21d5e3b7e39034d9c7335f2d80,.agents/skills/diagnosing-bugs/scripts/hitl-loop.template.sh,True,False,8,36,external-runtime-needs-input,,可能外部访问/更新入口，需具体参数与本地注入fixture,本轮不触发真实外部动作；区分cache/timeout与服务耗时,unknown-unless-candidate-explicitly-establishes-source,cli,"{""process_spawn"": false, ""tree_io"": false, ""network"": true, ""mutation"": false, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
18ee3835ff72e177ccd564a0478240d55a7b55ed23f04427bc1c3fc1361dc770,submodules/yss-harness-backend-agent/scripts/lib/scenario-checks.mjs,True,False,1,1,fixture-test-only,,测试检查/合成Git仓工具，按实际回归场景测量，不独立产品基准,只读源码抽样核对；隔离真实输入计时；若关联候选则采用其验证设计,unknown-unless-candidate-explicitly-establishes-source,library,"{""process_spawn"": true, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
19bd52b04f6c6c2420b8dcc4b58a606922cf677d90d3fdb174f4b26609230e9c,scripts/verify-yss-implementation-contract-compiler-scenarios,True,False,6,6,fixture-test-only,,断言/回归入口；是否启动真实环境需沿callee区分,隔离执行对应测试，区分mock/真实构建/外部资源,unknown-unless-candidate-explicitly-establishes-source,wrapper,"{""process_spawn"": true, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": false}",manual-candidate-or-automatic-classification-not-function-level-proof
1bbf66d7ab508d5ee340cdbc824199563ac100ac609759fef902ed843c3071a4,scripts/lib/json-schema.mjs,True,False,8,9,candidate,P01,直接引用源码已人工核对,见关联候选验证设计,unknown-unless-candidate-explicitly-establishes-source,library,"{""process_spawn"": true, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
1ca1c673de437617f663e42f9dd9496fb5f1eff2fd84894c58d66055953954c3,scripts/verify-maintenance-review-workflow-scenarios,True,False,2,2,fixture-test-only,,断言/回归入口；是否启动真实环境需沿callee区分,隔离执行对应测试，区分mock/真实构建/外部资源,unknown-unless-candidate-explicitly-establishes-source,cli,"{""process_spawn"": true, ""tree_io"": true, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
1d5844bf221d604d08836b67945864f165e635c491461b74443c4b251c9b4704,scripts/verify-maintenance-review-record,True,False,6,11,wrapper-follow-callee,,短包装/重导出入口；主要成本落在callee,计入口启动开销并追踪实际callee，保留兼容入口,unknown-unless-candidate-explicitly-establishes-source,wrapper,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
1d5e4a4c8a0213e447cd7e04ee45b0ab4a7c9ce59ce2997192830b35386ed34d,.agents/skills/llm-wiki/scripts/advise.test.mjs,True,False,8,34,fixture-test-only,,断言/回归入口；是否启动真实环境需沿callee区分,隔离执行对应测试，区分mock/真实构建/外部资源,unknown-unless-candidate-explicitly-establishes-source,test,"{""process_spawn"": true, ""tree_io"": true, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": false}",manual-candidate-or-automatic-classification-not-function-level-proof
1f30a39bd9d85e24f58ba214679254d90e30b649daf549433df643a74c774c32,submodules/yss-harness-backend-agent/scripts/lib/skill-supply-chain.mjs,True,False,2,2,candidate-caller,P04,命中候选函数/调用链；可能含字符串/注释，非独立瓶颈证明,沿实际调用链归因，见候选设计；不要据regex删除检查,unknown-unless-candidate-explicitly-establishes-source,library,"{""process_spawn"": true, ""tree_io"": true, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
1f93c512ee318ed5e3df70cc5e24ab471136a66f66d2041b0e8313a65dcde514,scripts/lib/repository-mode.mjs,True,False,8,9,static-no-confirmed-hotspot,,词法/路径分类，未证明性能正常,按真实调用频率与输入规模采样；有证据再扩大分析,unknown-unless-candidate-explicitly-establishes-source,library,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": false}",manual-candidate-or-automatic-classification-not-function-level-proof
209f4279612743e7627fd099bf001142649dfaf047740c80e104721d4f0deafa,submodules/yss-harness-dev-agent/scripts/verify-approval-record,True,False,6,7,wrapper-follow-callee,,短包装/重导出入口；主要成本落在callee,计入口启动开销并追踪实际callee，保留兼容入口,unknown-unless-candidate-explicitly-establishes-source,wrapper,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": false}",manual-candidate-or-automatic-classification-not-function-level-proof
21569086da8908677e690ecf6ba250963e3f31abdcf1cc0f85838ea6c86715de,scripts/lib/maintenance-review.mjs,True,False,2,2,candidate-caller,P01,命中候选函数/调用链；可能含字符串/注释，非独立瓶颈证明,沿实际调用链归因，见候选设计；不要据regex删除检查,unknown-unless-candidate-explicitly-establishes-source,library,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
2234439186c291dbca2990da0294e25b849dc88ca32b0e75406c71c31cf13742,submodules/yss-harness-frontend-agent/.agents/skills/yss-skill-source-index-refresh/scripts/refresh-yss-skill-index.mjs,True,False,1,1,external-runtime-needs-input,,可能外部访问/更新入口，需具体参数与本地注入fixture,本轮不触发真实外部动作；区分cache/timeout与服务耗时,unknown-unless-candidate-explicitly-establishes-source,cli,"{""process_spawn"": false, ""tree_io"": true, ""network"": true, ""mutation"": true, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
25578bac0543d84e227f351a1ed8812a90e2785e493bb29dfdeeca39d9b46565,scripts/verify-repository-scope-scenarios,True,False,2,2,fixture-test-only,,断言/回归入口；是否启动真实环境需沿callee区分,隔离执行对应测试，区分mock/真实构建/外部资源,unknown-unless-candidate-explicitly-establishes-source,cli,"{""process_spawn"": false, ""tree_io"": false, ""network"": true, ""mutation"": false, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
2563f64017c791dd53d7c7efb53d2ca1342d47def5fb8cbc4e0d6d451f2bc3f0,scripts/fixtures/user-decision/plan-fixture.mjs,True,False,4,4,fixture-test-only,,测试数据/服务/生成fixture，非普通产品流转入口,随调用它的场景测fixture准备/清理；不当独立业务基准,unknown-unless-candidate-explicitly-establishes-source,fixture,"{""process_spawn"": false, ""tree_io"": true, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
2612dc5d8e8e59c02f45e441fc01291243349467af15e3573efea1ed2cd5ccf1,scripts/lib/frontend-delivery-boundary.mjs,True,False,8,8,candidate-caller,P09,已核对spawn边界固定60秒timeout；每次实际验包/技术设计，不缓存调用方verified标记,只读源码抽样核对；隔离真实输入计时；若关联候选则采用其验证设计,unknown-unless-candidate-explicitly-establishes-source,library,"{""process_spawn"": true, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
26808ded5dcc1dcc50919766afa8b8e5dbf6c5a1dd1377ade95a097450ff6f52,submodules/yss-harness-frontend-agent/scripts/verify-digital-human-roles-scenarios,True,False,1,1,fixture-test-only,,断言/回归入口；是否启动真实环境需沿callee区分,隔离执行对应测试，区分mock/真实构建/外部资源,unknown-unless-candidate-explicitly-establishes-source,cli,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
26ad6b7e776c8bcc26046f3075bcbc68291fba255a22fb81f87f2adaa20bd882,submodules/yss-harness-design-agent/.agents/skills/yss-antdv-next-design/scripts/collect-antdv-next-facts.mjs,True,False,2,8,static-no-confirmed-hotspot,,词法/路径分类，未证明性能正常,按真实调用频率与输入规模采样；有证据再扩大分析,unknown-unless-candidate-explicitly-establishes-source,cli,"{""process_spawn"": true, ""tree_io"": true, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
284037d47d17ed2a04ffc30a8b6d4a43586805f66875dc0109aa604cd571a41e,scripts/verify-template,True,False,8,9,wrapper-follow-callee,,短包装/重导出入口；主要成本落在callee,计入口启动开销并追踪实际callee，保留兼容入口,unknown-unless-candidate-explicitly-establishes-source,wrapper,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": false}",manual-candidate-or-automatic-classification-not-function-level-proof
29ace0db500839dc5aa6fbdf0e07ff390f357ea9418658301790408451adc0ac,scripts/query-lifecycle-context,True,False,4,4,candidate-caller,P03,命中候选函数/调用链；可能含字符串/注释，非独立瓶颈证明,沿实际调用链归因，见候选设计；不要据regex删除检查,unknown-unless-candidate-explicitly-establishes-source,cli,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": false}",manual-candidate-or-automatic-classification-not-function-level-proof
2a0ed7e29d31a463826e0ee4d93d9fb27d34cc7ae60259d8de72a350fb80d820,scripts/export-yss-skills,True,False,8,9,wrapper-follow-callee,,短包装/重导出入口；主要成本落在callee,计入口启动开销并追踪实际callee，保留兼容入口,unknown-unless-candidate-explicitly-establishes-source,wrapper,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": false}",manual-candidate-or-automatic-classification-not-function-level-proof
2a8356cf8e99904ce1af63ffa41bbdeca96403e0343114a386d02ce38a07b64d,scripts/verify-subagent-task-package,True,False,8,9,wrapper-follow-callee,,短包装/重导出入口；主要成本落在callee,计入口启动开销并追踪实际callee，保留兼容入口,unknown-unless-candidate-explicitly-establishes-source,wrapper,"{""process_spawn"": true, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": false}",manual-candidate-or-automatic-classification-not-function-level-proof
